Field Descriptor,Label,Data Type,Units,Scalar,Cumulative Value?,equipment group,Facility Main?
5-50,Imported VARh Q2 (A),Numeric,kVARh,1,no,Compressor C-5,No
5-51,Imported VARh Q2 (B),Numeric,kVARh,1,no,Compressor C-5,No
5-52,Imported VARh Q2 (C),Numeric,kVARh,1,no,Compressor C-5,No
5-53,Exported VARh Q3 Sum,Numeric,kVARh,1,no,Compressor C-5,No
5-54,Exported VARh Q3 (A),Numeric,kVARh,1,no,Compressor C-5,No
5-55,Exported VARh Q3 (B),Numeric,kVARh,1,no,Compressor C-5,No
5-56,Exported VARh Q3 (C),Numeric,kVARh,1,no,Compressor C-5,No
5-57,Exported VARh Q4 Sum,Numeric,kVARh,1,no,Compressor C-5,No
5-58,Exported VARh Q4 (A),Numeric,kVARh,1,no,Compressor C-5,No
5-59,Exported VARh Q4 (B),Numeric,kVARh,1,no,Compressor C-5,No
5-60,Exported VARh Q4 (C),Numeric,kVARh,1,no,Compressor C-5,No
5-61,Watt Demand Element,Numeric,kW,1,no,Compressor C-5,No
6-0,Current (A),Numeric,A,1,no,Battery Charger 1,No
6-1,Current CH1 (A),Numeric,A,1,no,Battery Charger 1,No
6-2,Current CH2 (B),Numeric,A,1,no,Battery Charger 1,No
6-3,Current CH3 (C),Numeric,A,1,no,Battery Charger 1,No
6-4,L-N Voltage (V),Numeric,V,1,no,Battery Charger 1,No
6-5,Voltage L1-N (AN),Numeric,V,1,no,Battery Charger 1,No
6-6,Voltage L2-N (BN),Numeric,V,1,no,Battery Charger 1,No
6-7,Voltage L3-N (CN),Numeric,V,1,no,Battery Charger 1,No
6-8,L-L Voltage (V),Numeric,V,1,no,Battery Charger 1,No
6-9,Voltage L1-L2,Numeric,V,1,no,Battery Charger 1,No
6-10,Voltage L2-L3,Numeric,V,1,no,Battery Charger 1,No
6-11,Voltage L3-L1,Numeric,V,1,no,Battery Charger 1,No
6-12,Line Frequency,Numeric,Hz,1,no,Battery Charger 1,No
6-13,Demand (kW),Numeric,kW,1,no,Battery Charger 1,No
6-14,Power CH1 (A),Numeric,kW,1,no,Battery Charger 1,No
6-15,Power CH2 (B),Numeric,kW,1,no,Battery Charger 1,No
6-16,Power CH3 (C),Numeric,kW,1,no,Battery Charger 1,No
6-17,Apparent Power (kVA),Numeric,kVA,1,no,Battery Charger 1,No
6-18,VA CH1 (A),Numeric,kVA,1,no,Battery Charger 1,No
6-19,VA CH2 (B),Numeric,kVA,1,no,Battery Charger 1,No
6-20,VA CH3 (C),Numeric,kVA,1,no,Battery Charger 1,No
6-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Battery Charger 1,No
6-22,VAR CH1 (A),Numeric,kVAR,1,no,Battery Charger 1,No
6-23,VAR CH2 (B),Numeric,kVAR,1,no,Battery Charger 1,No
6-24,VAR CH3 (C),Numeric,kVAR,1,no,Battery Charger 1,No
6-25,Power Factor (%),Numeric,,1,no,Battery Charger 1,No
6-26,Apparent PF CH1 (A),Numeric,,1,no,Battery Charger 1,No
6-27,Apparent PF CH2 (B),Numeric,,1,no,Battery Charger 1,No
6-28,Apparent PF CH3 (C),Numeric,,1,no,Battery Charger 1,No
6-29,Exported Energy Sum,Numeric,kWh,1,no,Battery Charger 1,No
6-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Battery Charger 1,No
6-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Battery Charger 1,No
6-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Battery Charger 1,No
6-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Battery Charger 1,No
6-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Battery Charger 1,No
6-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Battery Charger 1,No
6-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Battery Charger 1,No
6-37,Exported VAh Sum,Numeric,kVAh,1,no,Battery Charger 1,No
